1,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,可以，我有滿滿的愛心、耐心跟錢,有,沒有,白底橘貓
2,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,虎斑貓
3,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,可以，年齡不是問題,不行，我還沒準備好,沒有,沒有,乳牛貓
4,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,乳牛貓
5,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,三花貓
6,獨立自主的貓,肉感貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,虎斑貓
7,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,有,黑貓
8,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,虎斑貓
9,獨立自主的貓,肉感貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,虎斑貓
10,獨立自主的貓,肉感貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,有,虎斑貓
11,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,三花貓
12,黏人的貓,肉感貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,三花貓
13,黏人的貓,肉感貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,黑貓
14,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,可以，年齡不是問題,不行，我還沒準備好,沒有,沒有,虎斑貓
15,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,有,乳牛貓
16,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),公貓,不行，有點小介意,不行，我還沒準備好,沒有,沒有,白底橘貓
17,黏人的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,可以，年齡不是問題,可以，我有滿滿的愛心、耐心跟錢,有,有,金吉拉
18,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,虎斑貓
19,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,虎斑貓
20,獨立自主的貓,苗條貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,虎斑貓
21,黏人的貓,肉感貓,稍微穩重一點的成貓(一歲以上),母貓,不行，有點小介意,不行，我還沒準備好,沒有,有,三花貓
22,黏人的貓,苗條貓,精力旺盛的幼貓(1歲以下),公貓,不行，有點小介意,不行，我還沒準備好,沒有,有,白底橘貓
