question,option1,option2,answer,info,score1,score2
貓咪需要定期梳毛嗎?,需要吧~貓咪也愛漂亮,不需要，他討厭別人動他的髮型,1,圖片1.png,0,-5
貓咪剛到新環境不適應會有什麼行為?,哈氣，就像使出尾獸玉,打嗝，咕嚕嚕,1,圖片2.png,0,-5
貓咪便盆數量如何計算?,貓咪數+1,貓咪數*2 ,1,圖片3.png,0,-10
所有貓咪最愛吃的食物都是魚?,是啊，有的也愛吃老鼠,否，貓跟人一樣有的會海鮮過敏,2,圖片4.png,-10,0
貓咪需要定期洗澡嗎?,需要，要不然會變成臭豆腐貓,不需要，貓咪自己會清潔自己，就像你不會幫別人洗澡,2,圖片5.png,-10,0
貓咪比較怕冷還是怕熱?,怕冷，所以他不能孤單寂寞,怕熱，所以他需要孤單寂寞,1,圖片6.png,0,-10
貓咪需要刷牙嗎？,需要，要不然會有口臭,不需要，他的口腔中有自動清潔的共生細菌,1,圖片7.png,0,-10
貓咪特別喜歡喝牛奶,是，而且他也會喜歡吃牛奶麵包,否，大部分貓有乳糖不耐症會拉肚子,2,圖片8.png,-10,0
奶貓的奶粉和水比例?,一比二,一比三,2,圖片9.png,-10,0
成貓需要多久打一次疫苗?,每年一次,半年一次,1,圖片10.png,0,-10
貓咪多數有什麼症狀?,乳糖不耐症,社交恐懼症,1,圖片11.png,0,-10
只要注意好寄生蟲或汙染狀況，生食對小貓是非常好的食物,是，他喜歡原汁原味,小貓見血即暈,1,圖片12.png,0,-5
貓砂多久換一次較為適中?,1個月,2個月,1,圖片13.png,0,-10
貓咪只要呼嚕嚕就代表很開心?,對，跟在日本吃拉麵一樣,不對，要聽一下他的聲調,2,圖片14.png,-5,0
一歲的貓咪相當於人類幾歲?,7歲，小一!,15歲，國三!,2,圖片15.png,-5,0
可以幫貓咪畫睫毛膏嗎?,不行!貓咪沒有睫毛啦~,不行!因為睫毛膏中化學物質會造成貓咪嗜睡~,1,圖片16.png,0,-10
人類平視角度是180度，那貓的平視角度可達多少度呢?,280度 ,340度,1,圖片17.png,0,-10
貓咪鼻子濕濕還是乾乾正常?,乾乾，濕濕代表他偷喝飲料排不出塑化劑,濕濕，乾乾代表他生病了要注意,2,圖片18.png,-10,0
貓咪扭打再一起只是在玩耍，看著牠們笑就好,沒有錯，超可愛的,錯了，真的會開扁,2,圖片19.png,-5,0
貓有幾條鬍鬚?,12條,24條,2,圖片20.png,-10,0
把貓咪領回家前應該？,什麼都不用準備，他自己就會跟你玩躲貓貓,先準備一個小空間，讓他可以窩起來,2,圖片21.png,-10,0
貓貓不能吃什麼？,洋蔥,鮭魚,1,圖片22.png,0,-10
哪一個是貓咪可以吃的“人吃的食物”？,花椰菜,巧克力,1,圖片23.png,0,-10
公貓不做節育手術會有什麼問題？,什麼問題都不會有，頂多讓他去外面浪一下,會有到處灑尿建立地盤的情形,2,圖片24.png,-5,0
母貓不做節育手術會有什麼問題？,發情厭食，甚至體態消瘦,個性變得內向害羞,1,圖片25.png,0,-5
哪一種不是貓咪可以打的疫苗？,卡介苗,狂犬病疫苗,1,圖片26.png,0,-10
小貓多大可以開始吃乾糧,一個月大,兩個月大,2,圖片27.png,-10,0
下列哪一種水果貓咪不能吃？,西瓜,桃子,2,圖片28.png,-10,0
下列選項並非貓的觸鬚的功能？,保持平衡,表達情緒,1,圖片29.png,0,-5
